date,species,trap,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,station,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,8,2,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,8,2,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,9,3,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,8,2,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,8,3,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,8,5,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000002,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,9,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,9,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999997,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,8,4,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,8,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,5,1,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,5,2,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,8,2,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6
2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,1,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6
2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,8,1,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6
